pcap_filename,up_packets,down_packets,up_bytes,down_bytes,up_size_min,up_size_max,up_size_mean,up_size_std,down_size_min,down_size_max,down_size_mean,down_size_std,up_iat_min,up_iat_max,up_iat_mean,up_iat_std,down_iat_min,down_iat_max,down_iat_mean,down_iat_std,label
news18_com_v7.pcap,93,91,7512,1221647,60.0,589.0,80.7741935483871,54.68858641951436,72.0,56544.0,13424.692307692309,17926.363001311114,2.86102294921875e-06,0.060398101806640625,0.0013048597004102624,0.006302124929614564,9.5367431640625e-07,0.0639348030090332,0.0012900431950887044,0.006748908302029739,news18_com
abc_net_au_v3.pcap,77,77,6360,865877,60.0,589.0,82.59740259740259,59.94158622765388,72.0,56544.0,11245.155844155845,15701.786472985967,5.9604644775390625e-06,0.05980396270751953,0.0016150537290071185,0.006852365261715837,9.5367431640625e-07,0.06350302696228027,0.0015619459905122455,0.007284946589003247,abc_net_au
indiatimes_com_v4.pcap,17,18,2054,8724,60.0,589.0,120.82352941176471,120.02266221996071,72.0,2944.0,484.6666666666667,746.1924833595032,7.867813110351562e-06,0.05959820747375488,0.010158002376556396,0.015334653844310625,9.5367431640625e-07,0.07424187660217285,0.00872511022231158,0.01783982004196335,indiatimes_com
washingtonpost_com_v2.pcap,17,15,2045,5427,60.0,589.0,120.29411764705883,120.36794800350462,72.0,2968.0,361.8,720.5468478870753,6.198883056640625e-06,0.05856513977050781,0.0059293657541275024,0.014045028425369425,9.5367431640625e-07,0.06232309341430664,0.00647406918661935,0.015996935892150975,washingtonpost_com
timesofindia_com_v4.pcap,147,147,12107,1309802,60.0,589.0,82.36054421768708,61.532685366488835,72.0,56544.0,8910.21768707483,11748.463890626172,3.0994415283203125e-06,0.5380048751831055,0.006990081643405026,0.04748755517026606,0.0,0.4839301109313965,0.0069644385821198765,0.0434397628423348,timesofindia_com
indiatimes_com_v8.pcap,17,18,2054,8724,60.0,589.0,120.82352941176471,120.02266221996071,72.0,2944.0,484.6666666666667,746.1924833595032,8.821487426757812e-06,0.09364199638366699,0.012224555015563965,0.02313672402964501,9.5367431640625e-07,0.10766887664794922,0.010705232620239258,0.025500312372835045,indiatimes_com
express_co_uk_v9.pcap,14,13,1846,6873,72.0,589.0,131.85714285714286,128.91406724905502,72.0,2928.0,528.6923076923077,852.2271622605527,1.6927719116210938e-05,0.10571503639221191,0.010161528220543494,0.02766507237128684,2.1457672119140625e-06,0.10953211784362793,0.010918994744618734,0.029871331855321526,express_co_uk
rt_com_v10.pcap,151,145,11669,393594,60.0,589.0,77.27814569536424,42.941074509206956,72.0,2968.0,2714.441379310345,752.8898062510331,3.0994415283203125e-06,0.20502686500549316,0.012570219039916992,0.036190792973904075,9.5367431640625e-07,0.26097583770751953,0.011670374208026461,0.03566775508901863,rt_com
washingtonpost_com_v10.pcap,15,12,1913,5211,60.0,589.0,127.53333333333333,126.37239501656296,72.0,3654.0,434.25,976.6519445704971,1.3113021850585938e-05,0.09694790840148926,0.010103498186383928,0.02442654949702958,2.86102294921875e-06,0.10050487518310547,0.01251099326393821,0.028255587557478454,washingtonpost_com
cnbc_com_v1.pcap,16,18,1966,5548,60.0,589.0,122.875,123.40273244543656,72.0,2757.0,308.22222222222223,612.1436428700152,8.106231689453125e-06,0.06075787544250488,0.00594180425008138,0.014828040840004036,9.5367431640625e-07,0.06407403945922852,0.005042286480174345,0.014966697452315115,cnbc_com
