pcap_filename,label,total_trace_packets,trace_pt_1,trace_pt_2,trace_pt_3,trace_pt_4,trace_pt_5,trace_pt_6,trace_pt_7,trace_pt_8,trace_pt_9,trace_pt_10,trace_pt_11,trace_pt_12,trace_pt_13,trace_pt_14,trace_pt_15,trace_pt_16,trace_pt_17,trace_pt_18,trace_pt_19,trace_pt_20
cnbc_com_v4.pcap,cnbc_com,16,-589.0,1586.0,2078.0,1970.5263157894738,1876.8947368421052,1781.3684210526317,1696.157894736842,1598.5263157894738,1654.4210526315787,1950.4736842105262,2246.5263157894733,2377.0,2467.7894736842104,2656.736842105263,3058.684210526316,3428.9473684210525,3437.947368421053,3359.5789473684213,3324.2105263157896,3400.0
express_co_uk_v2.pcap,express_co_uk,13,-589.0,1260.2631578947367,2762.157894736842,3777.7368421052633,3875.421052631579,3792.3684210526317,3717.842105263158,3642.0526315789475,3566.3684210526317,3498.7894736842104,3422.0526315789475,3336.157894736842,3474.315789473684,3610.1052631578946,3700.4210526315787,3674.2105263157896,3760.631578947369,4604.421052631578,4920.631578947368,4860.0
express_co_uk_v7.pcap,express_co_uk,13,-589.0,1260.2631578947367,2762.157894736842,3777.7368421052633,3875.421052631579,3792.3684210526317,3717.842105263158,3642.0526315789475,3566.3684210526317,3498.7894736842104,3422.0526315789475,3336.157894736842,3474.315789473684,3610.1052631578946,3700.4210526315787,3674.2105263157896,3760.8421052631584,4605.894736842104,4922.631578947368,4862.0
rt_com_v8.pcap,rt_com,148,-589.0,2317.6315789473683,9657.999999999998,31858.842105263153,54821.78947368421,77784.73684210525,100747.6842105263,123710.63157894737,146673.57894736843,169636.52631578947,192599.4736842105,215562.4210526316,238525.36842105264,261488.31578947365,284451.2631578948,307414.2105263158,330377.15789473685,353340.10526315786,376303.05263157893,391847.0
express_co_uk_v3.pcap,express_co_uk,14,-589.0,1414.3684210526314,2931.4210526315787,3939.842105263158,3846.7894736842104,3761.315789473684,3680.263157894737,3597.4736842105262,3521.315789473684,3443.5263157894738,3350.4736842105267,3461.1052631578946,3608.2105263157896,3699.894736842105,3654.3684210526317,3638.1052631578946,3708.578947368421,4559.684210526313,5022.684210526316,4957.0
timesofindia_com_v9.pcap,timesofindia_com,144,-589.0,5134.315789473684,10762.631578947368,11357.368421052632,30393.8947368421,51115.368421052626,71836.84210526315,93994.31578947368,126506.10526315788,157657.4736842105,206872.21052631576,261226.3157894737,337649.47368421045,407464.52631578926,506561.3684210525,681841.7894736843,888109.5789473684,1068302.631578947,1255902.4210526312,1306251.0
express_co_uk_v5.pcap,express_co_uk,14,-589.0,1414.3684210526314,2891.6315789473683,3848.4736842105262,3971.6315789473683,3961.7368421052633,3870.5789473684213,3789.842105263158,3707.684210526316,3627.105263157895,3553.8947368421054,3465.421052631579,3453.842105263158,3625.578947368421,3734.7894736842104,3767.8947368421054,3697.421052631579,4538.315789473681,5001.684210526316,4936.0
ndtv_com_v4.pcap,ndtv_com,16,-589.0,2099.157894736842,2728.0,2620.5263157894738,2526.8947368421054,2431.3684210526317,2346.157894736842,2248.0,2303.4210526315787,2599.4736842105262,2895.5263157894733,3026.0,3116.7894736842104,3269.1578947368416,3538.5789473684213,3457.2631578947367,3737.210526315789,3869.5789473684213,3834.2105263157896,3910.0
timesofindia_com_v5.pcap,timesofindia_com,147,-589.0,5238.210526315789,10724.421052631578,11372.263157894737,32415.947368421053,53774.68421052632,76581.42105263159,99388.15789473684,131568.7894736842,163597.0,207666.4736842105,267587.73684210534,349076.5789473684,442224.3684210525,555874.052631579,676306.4736842107,840636.157894737,1019522.0526315786,1212811.736842105,1306468.0
washingtonpost_com_v1.pcap,washingtonpost_com,16,-589.0,1754.157894736842,2818.4210526315787,3082.0,2967.3684210526317,2874.2105263157896,2778.842105263158,2690.684210526316,2596.105263157895,2540.4736842105262,2836.5263157894733,3132.5789473684213,3314.0,3411.1052631578946,3481.5789473684213,3400.2631578947367,3451.578947368421,3450.5789473684213,3415.2105263157896,3491.0
